id	label	description	url	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>	weight<Norm. citations>	score<Pub. year>	score<Citations>	score<Norm. citations>
17	weyrich a. (2019)	"<table><tr><td>Authors:</td><td>weyrich a.; lenz d.; fickel j.</td></tr><tr><td>Title:</td><td>environmental change-dependent inherited epigenetic response</td></tr><tr><td>Source:</td><td>genes, 10(1)</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://doi.org/10.3390/genes10010004	-0.4578	-0.0921	1	162	28	0	0	2019	0	0
18	portha b. (2019)	"<table><tr><td>Authors:</td><td>portha b.; grandjean v.; movassat j.</td></tr><tr><td>Title:</td><td>mother or father: who is in the front line? mechanisms underlying the non-genomic transmission of obesity/diabetes via the maternal or the paternal line</td></tr><tr><td>Source:</td><td>nutrients, 11(2)</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://doi.org/10.3390/nu11020233	-0.3082	-0.5296	1	176	85	1	0.6452	2019	1	0.6452
19	falcão-tebas f. (2019)	"<table><tr><td>Authors:</td><td>falcão-tebas f.; kuang j.; arceri c.; kerris j.p.; andrikopoulos s.; marin e.c.; mcconell g.k.</td></tr><tr><td>Title:</td><td>four weeks of exercise early in life reprograms adult skeletal muscle insulin resistance caused by a paternal high-fat diet</td></tr><tr><td>Source:</td><td>journal of physiology, 597(1), 121-136</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://doi.org/10.1113/jp276386	-0.502	-0.5226	1	116	15	2	1.2903	2019	2	1.2903
20	li x. (2019)	"<table><tr><td>Authors:</td><td>li x.; shi x.; hou y.; cao x.; gong l.; wang h.; li j.; li j.; wu c.; xiao d.; qi h.; xiao x.</td></tr><tr><td>Title:</td><td>paternal hyperglycemia induces transgenerational inheritance of susceptibility to hepatic steatosis in rats involving altered methylation on pparα promoter</td></tr><tr><td>Source:</td><td>biochimica et biophysica acta - molecular basis of disease, 1865(1), 147-160</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://doi.org/10.1016/j.bbadis.2018.10.040	-0.2589	-0.4883	1	138	22	1	0.6452	2019	1	0.6452
21	stanford k.i. (2018)	"<table><tr><td>Authors:</td><td>stanford k.i.; rasmussen m.; baer l.a.; lehnig a.c.; rowland l.a.; white j.d.; so k.; de sousa-coelho a.l.; hirshman m.f.; patti m.-e.; rando o.j.; goodyear l.j.</td></tr><tr><td>Title:</td><td>paternal exercise improves glucose metabolism in adult offspring</td></tr><tr><td>Source:</td><td>diabetes, 67(12), 2530-2540</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/10.2337/db18-0667	-0.2456	-0.6911	1	142	33	7	1.7962	2018	7	1.7962
22	kinnally e.l. (2018)	"<table><tr><td>Authors:</td><td>kinnally e.l.; gonzalez m.n.; capitanio j.p.</td></tr><tr><td>Title:</td><td>paternal line effects of early experiences persist across three generations in rhesus macaques</td></tr><tr><td>Source:</td><td>developmental psychobiology, 60(8), 879-888</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/10.1002/dev.21771	-0.6354	-0.2162	1	142	51	0	0	2018	0	0
24	conforti s. (2018)	"<table><tr><td>Authors:</td><td>conforti s.; dietrich j.; kuhn t.; koppenhagen n.v.; baur j.; rohner p.t.; blanckenhorn w.u.; schäfer m.a.</td></tr><tr><td>Title:</td><td>comparative effects of the parasiticide ivermectin on survival and reproduction of adult sepsid flies</td></tr><tr><td>Source:</td><td>ecotoxicology and environmental safety, 163, 215-222</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/10.1016/j.ecoenv.2018.07.029	-1.5174	0.1349	3	5	5	2	0.5132	2018	2	0.5132
25	zhou y. (2018)	"<table><tr><td>Authors:</td><td>zhou y.; zhu h.; wu h.-y.; jin l.-y.; chen b.; pang h.-y.; ming z.-h.; cheng y.; zhou c.-l.; guo m.-x.; huang y.-t.; yu d.-q.; sheng j.-z.; huang h.-f.</td></tr><tr><td>Title:</td><td>diet-induced paternal obesity impairs cognitive function in offspring by mediating epigenetic modifications in spermatozoa</td></tr><tr><td>Source:</td><td>obesity, 26(11), 1749-1757</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/10.1002/oby.22322	-0.2301	-0.7791	1	122	21	1	0.2566	2018	1	0.2566
26	yu m. (2018)	"<table><tr><td>Authors:</td><td>yu m.; guo l.; li n.; henzel k.s.; gu h.; ran x.; sun w.; liu s.; lu y.; ehninger d.; zhou y.</td></tr><tr><td>Title:</td><td>overexpression of kcnmb2 in dorsal ca1 of offspring mice rescues hippocampal dysfunction caused by a methyl donor-rich paternal diet</td></tr><tr><td>Source:</td><td>frontiers in cellular neuroscience, 12</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/10.3389/fncel.2018.00360	-0.6692	-1.2115	1	1	1	0	0	2018	0	0
27	watkins a.j. (2018)	"<table><tr><td>Authors:</td><td>watkins a.j.; dias i.; tsuro h.; allen d.; emes r.d.; moreton j.; wilson r.; ingram r.j.m.; sinclair k.d.</td></tr><tr><td>Title:</td><td>paternal diet programs offspring health through sperm- and seminal plasma-specific pathways in mice</td></tr><tr><td>Source:</td><td>proceedings of the national academy of sciences of the united states of america, 115(40), 10064-10069</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/10.1073/pnas.1806333115	-0.3667	-0.299	1	145	26	6	1.5396	2018	6	1.5396
28	ding t. (2018)	"<table><tr><td>Authors:</td><td>ding t.; mokshagundam s.; rinaudo p.f.; osteen k.g.; bruner-tran k.l.</td></tr><tr><td>Title:</td><td>paternal developmental toxicant exposure is associated with epigenetic modulation of sperm and placental pgr and igf2 in a mouse model</td></tr><tr><td>Source:</td><td>biology of reproduction, 99(4), 864-876</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/10.1093/biolre/ioy111	-0.1075	0.1748	1	61	19	0	0	2018	0	0
29	zirbel k.e. (2018)	"<table><tr><td>Authors:</td><td>zirbel k.e.; alto b.w.</td></tr><tr><td>Title:</td><td>maternal and paternal nutrition in a mosquito influences offspring life histories but not infection with an arbovirus</td></tr><tr><td>Source:</td><td>ecosphere, 9(10)</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/10.1002/ecs2.2469	-1.115	0.3355	3	62	30	0	0	2018	0	0
30	siddeek b. (2018)	"<table><tr><td>Authors:</td><td>siddeek b.; mauduit c.; simeoni u.; benahmed m.</td></tr><tr><td>Title:</td><td>sperm epigenome as a marker of environmental exposure and lifestyle, at the origin of diseases inheritance</td></tr><tr><td>Source:</td><td>mutation research - reviews in mutation research, 778, 38-44</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/10.1016/j.mrrev.2018.09.001	0.0814	-0.1358	1	214	71	0	0	2018	0	0
31	duan m. (2018)	"<table><tr><td>Authors:</td><td>duan m.; xiong d.; bai x.; gao y.; xiong y.; gao x.; ding g.</td></tr><tr><td>Title:</td><td>transgenerational effects of heavy fuel oil on the sea urchin strongylocentrotus intermedius considering oxidative stress biomarkers</td></tr><tr><td>Source:</td><td>marine environmental research, 141, 138-147</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/10.1016/j.marenvres.2018.08.010	-0.6842	-0.1728	3	4	27	0	0	2018	0	0
32	micu m.c. (2018)	"<table><tr><td>Authors:</td><td>micu m.c.; ostensen m.; villiger p.m.; micu r.; ionescu r.</td></tr><tr><td>Title:</td><td>paternal exposure to antirheumatic drugs—what physicians should know: review of the literature</td></tr><tr><td>Source:</td><td>seminars in arthritis and rheumatism, 48(2), 343-355</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/10.1016/j.semarthrit.2018.01.006	0.9433	0.0495	2	34	46	2	0.5132	2018	2	0.5132
33	hannan a.j. (2018)	"<table><tr><td>Authors:</td><td>hannan a.j.</td></tr><tr><td>Title:</td><td>stressing the seminal role of paternal experience in transgenerational ‘epigenopathy’ affecting offspring health and disease susceptibility</td></tr><tr><td>Source:</td><td>neuroscience, 388, 472-473</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/10.1016/j.neuroscience.2018.07.021	-0.3992	-0.5923	1	153	21	0	0	2018	0	0
34	harker a. (2018)	"<table><tr><td>Authors:</td><td>harker a.; carroll c.; raza s.; kolb b.; gibb r.</td></tr><tr><td>Title:</td><td>preconception paternal stress in rats alters brain and behavior in offspring</td></tr><tr><td>Source:</td><td>neuroscience, 388, 474-485</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/10.1016/j.neuroscience.2018.06.034	-0.3904	-0.5584	1	100	33	2	0.5132	2018	2	0.5132
35	duan m. (2018a)	"<table><tr><td>Authors:</td><td>duan m.; xiong d.; yang m.; xiong y.; ding g.</td></tr><tr><td>Title:</td><td>parental exposure to heavy fuel oil induces developmental toxicity in offspring of the sea urchin strongylocentrotus intermedius</td></tr><tr><td>Source:</td><td>ecotoxicology and environmental safety, 159, 109-119</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/10.1016/j.ecoenv.2018.04.067	-0.835	0.2859	3	57	30	4	1.0264	2018	4	1.0264
36	leite g.a.a. (2018)	"<table><tr><td>Authors:</td><td>leite g.a.a.; figueiredo t.m.; pacheco t.l.; guerra m.t.; anselmo-franci j.a.; kempinas w.d.g.</td></tr><tr><td>Title:</td><td>reproductive outcomes in rat female offspring from male rats co-exposed to rosuvastatin and ascorbic acid during pre-puberty</td></tr><tr><td>Source:</td><td>journal of toxicology and environmental health - part a: current issues, 81(17), 873-892</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/10.1080/15287394.2018.1504702	0.253	-1.1519	2	10	40	0	0	2018	0	0
37	kumar p. (2018)	"<table><tr><td>Authors:</td><td>kumar p.; das a.; lal n.r.; jain s.; ghosh a.</td></tr><tr><td>Title:</td><td>safety of important dermatological drugs (retinoids, immune suppressants, anti androgens and thalidomide) in reproductively active males with respect to pregnancy outcome: a brief review of literature</td></tr><tr><td>Source:</td><td>indian journal of dermatology, venereology and leprology, 84(5), 539-546</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/10.4103/ijdvl.ijdvl_77_17	1.0997	0.1227	2	17	25	1	0.2566	2018	1	0.2566
38	sharp g.c. (2018)	"<table><tr><td>Authors:</td><td>sharp g.c.; lawlor d.a.; richardson s.s.</td></tr><tr><td>Title:</td><td>it's the mother!: how assumptions about the causal primacy of maternal effects influence research on the developmental origins of health and disease</td></tr><tr><td>Source:</td><td>social science and medicine, 213, 20-27</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/10.1016/j.socscimed.2018.07.035	0.4284	-0.2473	1	33	19	6	1.5396	2018	6	1.5396
39	immler s. (2018)	"<table><tr><td>Authors:</td><td>immler s.</td></tr><tr><td>Title:</td><td>the sperm factor: paternal impact beyond genes</td></tr><tr><td>Source:</td><td>heredity, 121(3), 239-247</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/10.1038/s41437-018-0111-0	-0.499	0.1105	3	213	59	8	2.0528	2018	8	2.0528
40	macartney e.l. (2018)	"<table><tr><td>Authors:</td><td>macartney e.l.; crean a.j.; bonduriansky r.</td></tr><tr><td>Title:</td><td>epigenetic paternal effects as costly, condition-dependent traits</td></tr><tr><td>Source:</td><td>heredity, 121(3), 248-256</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/10.1038/s41437-018-0096-8	-0.64	-0.1139	3	205	65	3	0.7698	2018	3	0.7698
41	da cruz r.s. (2018)	"<table><tr><td>Authors:</td><td>da cruz r.s.; carney e.j.; clarke j.; cao h.; cruz m.i.; benitez c.; jin l.; fu y.; cheng z.; wang y.; de assis s.</td></tr><tr><td>Title:</td><td>paternal malnutrition programs breast cancer risk and tumor metabolism in offspring</td></tr><tr><td>Source:</td><td>breast cancer research, 20(1)</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/10.1186/s13058-018-1034-7	0.1023	-0.5453	1	146	31	1	0.2566	2018	1	0.2566
43	mega f. (2018)	"<table><tr><td>Authors:</td><td>mega f.; de meireles a.l.f.; piazza f.v.; spindler c.; segabinazi e.; dos santos salvalaggio g.; achaval m.; marcuzzo s.</td></tr><tr><td>Title:</td><td>paternal physical exercise demethylates the hippocampal dna of male pups without modifying the cognitive and physical development</td></tr><tr><td>Source:</td><td>behavioural brain research, 348, 1-8</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/10.1016/j.bbr.2018.03.040	-0.1839	0.0509	1	123	31	4	1.0264	2018	4	1.0264
44	vega-trejo r. (2018)	"<table><tr><td>Authors:</td><td>vega-trejo r.; kruuk l.e.b.; jennions m.d.; head m.l.</td></tr><tr><td>Title:</td><td>what happens to offspring when parents are inbred, old or had a poor start in life? evidence for sex-specific parental effects</td></tr><tr><td>Source:</td><td>journal of evolutionary biology, 31(8), 1138-1151</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/10.1111/jeb.13292	-0.7024	0.2024	3	147	48	0	0	2018	0	0
45	ju l.-s. (2018)	"<table><tr><td>Authors:</td><td>ju l.-s.; yang j.-j.; morey t.e.; gravenstein n.; seubert c.n.; resnick j.l.; zhang j.-q.; martynyuk a.e.</td></tr><tr><td>Title:</td><td>role of epigenetic mechanisms in transmitting the effects of neonatal sevoflurane exposure to the next generation of male, but not female, rats</td></tr><tr><td>Source:</td><td>british journal of anaesthesia, 121(2), 406-416</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/10.1016/j.bja.2018.04.034	-0.3968	-0.7372	1	43	3	6	1.5396	2018	6	1.5396
46	leite g.a.a. (2018a)	"<table><tr><td>Authors:</td><td>leite g.a.a.; figueiredo t.m.; guerra m.t.; borges c.d.s.; fernandes f.h.; anselmo-franci j.a.; kempinas w.d.g.</td></tr><tr><td>Title:</td><td>ascorbic acid co-administered with rosuvastatin reduces reproductive impairment in the male offspring from male rats exposed to the statin at pre-puberty</td></tr><tr><td>Source:</td><td>food and chemical toxicology, 118, 416-429</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/10.1016/j.fct.2018.05.043	0.3515	-0.7231	2	36	43	2	0.5132	2018	2	0.5132
47	li j. (2018)	"<table><tr><td>Authors:</td><td>li j.; lu y.-p.; tsuprykov o.; hasan a.a.; reichetzeder c.; tian m.; zhang x.l.; zhang q.; sun g.-y.; guo j.; gaballa m.m.s.; peng x.-n.; lin g.; hocher b.</td></tr><tr><td>Title:</td><td>folate treatment of pregnant rat dams abolishes metabolic effects in female offspring induced by a paternal pre-conception unhealthy diet</td></tr><tr><td>Source:</td><td>diabetologia, 61(8), 1862-1876</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/10.1007/s00125-018-4635-x	-0.1812	-0.7326	1	134	23	5	1.283	2018	5	1.283
48	ornellas f. (2018)	"<table><tr><td>Authors:</td><td>ornellas f.; bringhenti i.; mattos b.a.n.f.; mandarim-de-lacerda c.a.; aguila m.b.</td></tr><tr><td>Title:</td><td>father’s obesity programs the adipose tissue in the offspring via the local renin–angiotensin system and mapks pathways, especially in adult male mice</td></tr><tr><td>Source:</td><td>european journal of nutrition, 57(5), 1901-1912</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/10.1007/s00394-017-1473-4	-0.3395	-0.71	1	122	17	1	0.2566	2018	1	0.2566
49	mccoy c.r. (2018)	"<table><tr><td>Authors:</td><td>mccoy c.r.; jackson n.l.; brewer r.l.; moughnyeh m.m.; smith d.l.; jr.; clinton s.m.</td></tr><tr><td>Title:</td><td>a paternal methyl donor depleted diet leads to increased anxiety- and depression-like behavior in adult rat offspring</td></tr><tr><td>Source:</td><td>bioscience reports, 38(4)</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/10.1042/bsr20180730	-0.5432	-0.2739	1	82	13	1	0.2566	2018	1	0.2566
50	baena-díaz f. (2018)	"<table><tr><td>Authors:</td><td>baena-díaz f.; martínez-m i.; gil-pérez y.; gonzález-tokman d.</td></tr><tr><td>Title:</td><td>trans-generational effects of ivermectin exposure in dung beetles</td></tr><tr><td>Source:</td><td>chemosphere, 202, 637-643</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/10.1016/j.chemosphere.2018.03.109	-1.2193	0.2613	3	48	18	2	0.5132	2018	2	0.5132
51	hammill k.m. (2018)	"<table><tr><td>Authors:</td><td>hammill k.m.; fraz s.; lee a.h.; wilson j.y.</td></tr><tr><td>Title:</td><td>the effects of parental carbamazepine and gemfibrozil exposure on sexual differentiation in zebrafish (danio rerio)</td></tr><tr><td>Source:</td><td>environmental toxicology and chemistry, 37(6), 1696-1706</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/10.1002/etc.4120	-0.4906	0.3824	1	20	10	3	0.7698	2018	3	0.7698
52	walker v.r. (2018)	"<table><tr><td>Authors:</td><td>walker v.r.; boyles a.l.; pelch k.e.; holmgren s.d.; shapiro a.j.; blystone c.r.; devito m.j.; newbold r.r.; blain r.; hartman p.; thayer k.a.; rooney a.a.</td></tr><tr><td>Title:</td><td>human and animal evidence of potential transgenerational inheritance of health effects: an evidence map and state-of-the-science evaluation</td></tr><tr><td>Source:</td><td>environment international, 115, 48-69</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/10.1016/j.envint.2017.12.032	0.1389	-0.0892	1	171	55.5	3	0.7698	2018	3	0.7698
53	yaw a.m. (2018)	"<table><tr><td>Authors:</td><td>yaw a.m.; woodruff r.w.; prosser r.a.; glass j.d.</td></tr><tr><td>Title:</td><td>paternal cocaine disrupts offspring circadian clock function in a sex-dependent manner in mice</td></tr><tr><td>Source:</td><td>neuroscience, 379, 257-268</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/10.1016/j.neuroscience.2018.03.012	-0.2639	0.4593	1	47	11	1	0.2566	2018	1	0.2566
54	champroux a. (2018)	"<table><tr><td>Authors:</td><td>champroux a.; cocquet j.; henry-berger j.; drevet j.r.; kocer a.</td></tr><tr><td>Title:</td><td>a decade of exploring the mammalian sperm epigenome: paternal epigenetic and transgenerational inheritance</td></tr><tr><td>Source:</td><td>frontiers in cell and developmental biology, 6(may)</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/10.3389/fcell.2018.00050	-0.0672	-0.3228	1	193	133	7	1.7962	2018	7	1.7962
55	chan j.c. (2018)	"<table><tr><td>Authors:</td><td>chan j.c.; nugent b.m.; bale t.l.</td></tr><tr><td>Title:</td><td>parental advisory: maternal and paternal stress can impact offspring neurodevelopment</td></tr><tr><td>Source:</td><td>biological psychiatry, 83(10), 886-894</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/10.1016/j.biopsych.2017.10.005	0.0033	-0.1933	1	201	68	19	4.8755	2018	19	4.8755
56	korgan a.c. (2018)	"<table><tr><td>Authors:</td><td>korgan a.c.; o'leary e.; king j.l.; weaver i.c.g.; perrot t.s.</td></tr><tr><td>Title:</td><td>effects of paternal high-fat diet and rearing environment on maternal investment and development of defensive responses in the offspring</td></tr><tr><td>Source:</td><td>psychoneuroendocrinology, 91, 20-30</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/10.1016/j.psyneuen.2018.02.010	-0.3517	-0.4911	1	175	31	3	0.7698	2018	3	0.7698
