"","Title.x","Doi.x","Year","Taxon","Species","Social_mating_system","Mating_in_study","Source_of_population","Exposure_stage","Exposure_category","Exposure_factor","Proximate_mechanisms","Maternal_effects","Maternal_effectcs_control","Latest_offspring_stage","Embryo_traits","Just_born_hatched_traits","Larvae_traits","Juveniles_traits","Adult_traits","Trait_list","Grand_offspring_traits","Grand_offspring_stage","Sex_specific_effects","Maternal_exposure","Offspring_exposure","Comments","link","id","label","Title.y","Doi.y","x","y","cluster","weight.Links.","weight.Total.link.strength.","weight.Citations.","weight.Norm..citations.","score.Pub..year.","score.Citations.","score.Norm..citations."
"11","the influence of light on paternal plants in campanula americana (campanulaceae): pollen characteristics and offspring traits","10.3732.ajb.89.12.1899",2002,"plant","Campanula americana","polygamy – promiscuity","without mate choice","wild brought into captivity","as adult","Abiotic habitat","two light levels","correlative assessment","yes – maternal effects","natural external fertilization","just born / hatched","morphology, survival","morphology",NA,NA,NA,"seed mass, germination percentage, leaf numer and size tested in two light conditions","no",NA,"no","diallel","yes",NA,"10.3732.ajb.89.12.1899",381,"etterson j.r. (2002)","the influence of light on paternal plants in campanula americana (campanulaceae): pollen characteristics and offspring traits","10.3732.ajb.89.12.1899",-1.2346,0.7669,3,40,32,30,0.6228,2002,30,0.6228
"12","transgenerational effects of ocean warming on the sea urchin strongylocentrotus intermedius","10.1016.j.ecoenv.2018.01.014",2018,"other invertebrate","Strongylocentrotus intermedius","polygamy – promiscuity","without mate choice","captive","as adult","Abiotic habitat","water temperature","does not assess","no","natural external fertilization","larvae","survival",NA,"morphology, survival, other",NA,NA,"egg hatching siccess, larval survival at several time points, larval size, metamorphosis, larve tested in different temperatures","no",NA,"no","diallel","yes",NA,"10.1016.j.ecoenv.2018.01.014",61,"zhao c. (2018)","transgenerational effects of ocean warming on the sea urchin strongylocentrotus intermedius","10.1016.j.ecoenv.2018.01.014",-1.2154,0.2638,3,6,6,2,0.5132,2018,2,0.5132
"13","within- and between-generation effects of temperature on the morphology and physiology of drosophila melanogaster","..",1996,"arthropod","Drosophila melanogaster","polygamy – promiscuity","unclear","captive","in utero, as juvenile, as adult","Abiotic habitat","ambient temperature","does not assess","no",NA,"adults",NA,NA,NA,NA,"morphology, survival, fecundity, other","body mass, size, survival and egg size in different temperatures, knockdown temperature, speed, performance curve","no",NA,"yes","diallel","yes",NA,"within- and between-generation effects of temperature on the morphology and physiology of drosophila melanogaster",410,"crill w.d. (1996)","within- and between-generation effects of temperature on the morphology and physiology of drosophila melanogaster","",-1.2275,0.6262,3,28,17,133,1.4244,1996,133,1.4244
"14","parental effects in plantago lanceolata l .1. a growth chamber experiment to examine pre- and postzygotic temperature effects","10.1111.j.1558.5646.1996.tb03895.x",1996,"plant","Plantago lanceolata","polygamy – promiscuity","without mate choice","wild brought into captivity","as juvenile","Abiotic habitat","ambient temperature","does not assess","no","artificial insemination","adults",NA,"morphology, survival",NA,NA,"fecundity","seed weight, percent germination, leaf area, and onset of flowering","no",NA,"no","diallel","yes",NA,"10.1111.j.1558.5646.1996.tb03895.x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","transgenerational plasticity and environmental stress: do paternal effects act as a conduit or a buffer?","10.1111.1365.2435.12604",2016,"other invertebrate","Galeolaria caespitosa","polygamy – promiscuity","without mate choice","wild brought into captivity","as adult","Abiotic habitat","water temperature","correlative assessment","yes – maternal effects","in-vitro fertilization","larvae",NA,NA,"survival",NA,NA,"larval survival","no",NA,"no","diallel","yes",NA,"10.1111.1365.2435.12604",162,"guillaume a.s. (2016)","transgenerational plasticity and environmental stress: do paternal effects act as a conduit or a buffer?","10.1111.1365.2435.12604",-0.5457,0.5591,3,79,41.7143,27,1.2871,2016,27,1.2871
"16","within‑ and transgenerational effects of ocean acidification on life history of marine three‑spined stickleback (gasterosteus aculeatus)","10.1007.s00227.014.2450.6",2014,"fish","Gasterosteus aculeatus","polygamy – promiscuity","without mate choice","wild brought into captivity","as adult","Abiotic habitat","water acidification with CO2","does not assess","yes – maternal effects","in-vitro fertilization","juveniles",NA,NA,NA,"morphology, survival, other",NA,"survial and growth measured at 3 time points, otolith characteristics","no",NA,"no","diallel","yes",NA,"10.1007.s00227.014.2450.6",248,"schade f.m. (2014)","within- and transgenerational effects of ocean acidification on life history of marine three-spined stickleback (gasterosteus aculeatus)","10.1007.s00227.014.2450.6",-1.2271,0.7374,3,35,11,34,0.907,2014,34,0.907
"17","long-term alcohol exposure prior to conception results in lower fetal body weights","10.1002.bdrb.20007",2004,"non-human mammal","Mus musculus","polygamy – promiscuity","without mate choice","captive","as juvenile, as adult","Alcohol","intragastric gavage of ethanol for at least 60 days, initatied ad different ages 4, 6 or 8 weeks old","does not assess","no",NA,"embryos","morphology",NA,NA,NA,NA,"fetal growth: body weight at crown-lump lenght","no",NA,"no","diallel","no",NA,"10.1002.bdrb.20007",372,"livy d.j. (2004)","long-term alcohol exposure prior to conception results in lower fetal body weights","10.1002.bdrb.20007",0.763,0.4584,1,40,18,13,0.4317,2004,13,0.4317
"18","maternal and paternal alcohol consumption increase offspring susceptibility to pseudomonas aeruginosa ocular infection","10.1159.000266905",1989,"non-human mammal","Rattus norvegicus","polygamy – promiscuity","without mate choice","captive","as adult","Alcohol","alcohol","does not assess","no",NA,"juveniles",NA,NA,NA,"physiology",NA,"response to ocular infection","no",NA,"no","diallel","no",NA,"10.1159.000266905",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","parental exposure to heavy fuel oil induces developmental toxicity in offspring of the sea urchin strongylocentrotus intermedius","10.1093.biolre.ioy111",2018,"other invertebrate","Strongylocentrotus intermedius","polygamy – promiscuity","without mate choice","wild","as adult","Chemical substance","water with heavy fuel oil (HFO) in five differenct concentrations","correlative assessment","yes – maternal effects","in-vitro fertilization, natural external fertilization","just born / hatched","morphology",NA,NA,NA,NA,"abnormaliteis in embryos","no",NA,"no","diallel","no",NA,"10.1093.biolre.ioy111",28,"ding t. (2018)","paternal developmental toxicant exposure is associated with epigenetic modulation of sperm and placental pgr and igf2 in a mouse model","10.1093.biolre.ioy111",-0.1075,0.1748,1,61,19,0,0,2018,0,0
"20","cadmium exposures in fathead minnows: are there sex-specific differences in mortality, reproductive success, and cd accumulation?","10.1007.s00244.006.0222.0",2007,"fish","Pimephales promelas","polygamy – promiscuity","without mate choice","captive","as adult","Chemical substance","cadmium (Cd) in water","does not assess","no","natural external fertilization","larvae","survival",NA,"survival, other",NA,NA,"Hatching success, larvea mortality to 48 h, larvae whole-body Cd concentrations.","no",NA,"no","diallel","no",NA,"10.1007.s00244.006.0222.0",355,"sellin m.k. (2007)","cadmium exposures in fathead minnows: are there sex-specific differences in mortality, reproductive success, and cd accumulation?","10.1007.s00244.006.0222.0",-2.0565,0.8425,3,1,1,4,0.1613,2007,4,0.1613
"21","maternal transfer of nanoplastics to offspring in zebrafish (danio rerio): a case study with nanopolystyrene","10.1016.j.scitotenv.2018.06.186",2018,"fish","Danio rerio","polygamy – promiscuity","with mate choice","captive","as adult","Chemical substance","diet with polystyrene nanoparticles (PS NPs)","correlative assessment","no","natural external fertilization","larvae","survival",NA,"physiology, morphology, behavior",NA,NA,"embryo survival, larvae locomotor activity, heart rate, malformations, larvae oxidative stress, embryo mitochondrial function, distribution of PS NPs in emryos and larvae","no",NA,"no","diallel","no",NA,"10.1016.j.scitotenv.2018.06.186",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","ambient and dosed exposure to quaternary ammonium disinfectants causes neural tube defects in rodents","10.1002.bdr2.1064",2017,"non-human mammal","Mus musculus","polygamy – promiscuity","without mate choice","captive","as adult","Chemical substance","exposure to alkyldimethylbenzyl ammonium chloride (ADBAC) and didecyldimethyl ammonium chloride (DDAC) for 8 weeks","does not assess","no",NA,"embryos","morphology",NA,NA,NA,NA,"neural tube defects in the embryos","no",NA,"no","diallel","no",NA,"10.1002.bdr2.1064",104,"hrubec t.c. (2017)","ambient and dosed exposure to quaternary ammonium disinfectants causes neural tube defects in rodents","10.1002.bdr2.1064",0.2247,0.2107,2,96,8,3,0.4286,2017,3,0.4286
"23","comparative effects of the parasiticide ivermectin on survival and reproduction of adult sepsid flies","10.1016.j.ecoenv.2018.07.029",2018,"arthropod","Sepsis punctum","polygamy – promiscuity","without mate choice","captive","as adult","Chemical substance","four ivermectin (veterinary pharmaceutical) concentrations","does not assess","no",NA,"adults",NA,NA,NA,NA,"survival","probability of offspring emergence, and offspring egg-to adult survival","no",NA,"no","diallel","no",NA,"10.1016.j.ecoenv.2018.07.029",24,"conforti s. (2018)","comparative effects of the parasiticide ivermectin on survival and reproduction of adult sepsid flies","10.1016.j.ecoenv.2018.07.029",-1.5174,0.1349,3,5,5,2,0.5132,2018,2,0.5132
"24","oral exposure of mice to formulations of organophosphorous pesticides: gestational and litter outcomes","10.1080.09603120802415818",2009,"non-human mammal","Mus musculus","polygamy – promiscuity","without mate choice","captive","as adult","Chemical substance","mixture of the six organophosphorous pesticide formulations for 7 weeks prior to mating, at two different doses","does not assess","no",NA,"embryos","morphology, survival",NA,NA,NA,NA,"embryo weight, survival, malformations and growth retardation","no",NA,"no","diallel","no",NA,"10.1080.09603120802415818",342,"gomes j. (2009)","oral exposure of mice to formulations of organophosphorous pesticides: gestational and litter outcomes","10.1080.09603120802415818",1.4472,0.1201,2,8,9,2,0.0297,2009,2,0.0297
"25","paternal concentrations of dioxin and sex ratio of offspring","10.1016.s0140.6736(00)02290.x",2000,"human","Homo sapiens","monogamy","with mate choice","human","as adult","Chemical substance","2,3,7,8-Tetrachlorodibenzo-p-dioxin (TCDD or dioxin) - exposure confirmed by serum samples","does not assess","no",NA,"just born / hatched",NA,"other",NA,NA,NA,"offspring sex ratio","no",NA,"no","diallel","no",NA,"10.1016.s0140.6736(00)02290.x",395,"mocarelli p. (2000)","paternal concentrations of dioxin and sex ratio of offspring","10.1016.s0140.6736(00)02290.x",1.3776,0.1034,2,8,9,316,3.7352,2000,316,3.7352
"26","the effects of parental carbamazepine and gemfibrozil exposure on sexual differentiation in zebrafish (danio rerio)","10.1002.etc.4120",2018,"fish","Danio rerio","polygamy – promiscuity","without mate choice","captive","as adult","Chemical substance","carbamazepine or gemfibrozil","does not assess","no",NA,"adults",NA,NA,NA,NA,"morphology, other","sexual differentiation rate, offspring sex ratio","no",NA,"yes","diallel","no",NA,"10.1002.etc.4120",51,"hammill k.m. (2018)","the effects of parental carbamazepine and gemfibrozil exposure on sexual differentiation in zebrafish (danio rerio)","10.1002.etc.4120",-0.4906,0.3824,1,20,10,3,0.7698,2018,3,0.7698
"27","transgenerational effect of a single neonatal benzpyrene treatment (imprinting) on the sexual behavior of adult female rats","10.1177.096032719701601001",1997,"non-human mammal","Rattus norvegicus","polygamy – promiscuity","without mate choice","captive","as juvenile","Chemical substance","subcutaneus injection of 3,4-benzpyrene to newborn pups","does not assess","no",NA,"adults",NA,NA,NA,NA,"morphology, behavior","body weight, sexual activity of female (and grandfemale) offpsring","phenotype","adults","one sex measured only","diallel","no",NA,"10.1177.096032719701601001",407,"csaba g. (1997)","transgenerational effect of a single neonatal benzpyrene treatment (imprinting) on the sexual behavior of adult female rats","10.1177.096032719701601001",-0.2329,1.3049,3,2,2,23,0.7931,1997,23,0.7931
"28","trans-generational effects of ivermectin exposure in dung beetles","j.chemosphere.2018.03.109",2018,"arthropod","Euoniticellus intermedius","polygamy – promiscuity","without mate choice","wild brought into captivity","as adult","Chemical substance","Ivermectin (antiparasitic veterinarian drug)","correlative assessment","no",NA,"adults",NA,NA,NA,NA,"morphology, other","sex ratio, body size and male horn length","no",NA,"yes","diallel","no",NA,"j.chemosphere.2018.03.109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","a dose-dependent relationship between copper burden in female urchin gonads and developmental impairment of their offspring","10.1016.j.marenvres.2018.01.020",2018,"other invertebrate","Evechinus chloroticus","polygamy – promiscuity","without mate choice","wild brought into captivity","as adult","Chemical substance","copper in the water","correlative assessment","yes – maternal effects","in-vitro fertilization, natural external fertilization","larvae",NA,NA,"morphology, survival",NA,NA,"larval survival, proportion of normal larvae and larval size,","no",NA,"no","diallel","yes",NA,"10.1016.j.marenvres.2018.01.020",57,"phillips n.e. (2018)","a dose-dependent relationship between copper burden in female urchin gonads and developmental impairment of their offspring","10.1016.j.marenvres.2018.01.020",-1.4075,0.5684,3,23,7,0,0,2018,0,0
"30","transgenerational effects of heavy fuel oil on the sea urchin strongylocentrotus intermedius considering oxidative stress biomarkers","10.1016.j.marenvres.2018.08.010",2018,"other invertebrate","Strongylocentrotus intermedius","polygamy – promiscuity","without mate choice","captive","as adult","Chemical substance","water exposure to stranded heavy fuel oil (HFO)","correlative assessment","yes – maternal effects","in-vitro fertilization, natural external fertilization","just born / hatched","survival","physiology, morphology",NA,NA,NA,"offspring at 24 and 48 hpf: four oxidative stress biomarkers, morphological evaluation incl. abnormaliteis tested in two types of water","no",NA,"no","diallel","yes",NA,"10.1016.j.marenvres.2018.08.010",31,"duan m. (2018)","transgenerational effects of heavy fuel oil on the sea urchin strongylocentrotus intermedius considering oxidative stress biomarkers","10.1016.j.marenvres.2018.08.010",-0.6842,-0.1728,3,4,27,0,0,2018,0,0
"31","semen characteristics, mating performance and serum testosterone in rams fed sewage solids","10.1016.0093.691x(85)90209.2",1985,"non-human mammal","Ovis aries","polygamy – promiscuity","without mate choice","domesticated","as adult","Diet","diet with cottonseed or sewage solids","correlative assessment","no",NA,"adults",NA,"morphology",NA,"morphology","morphology","bith weight, and at subsequent time points also post-weaning, survival until weaning","no",NA,"no","diallel","no","results for the interaction not presented","10.1016.0093.691x(85)90209.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","prenatal exposure to famine and the development of hyperglycemia and type 2 diabetes in adulthood across consecutive generations: a population-based cohort study of families in suihua, china","10.3945.ajcn.116.138792",2017,"human","Homo sapiens","monogamy","with mate choice","human","in utero","Diet","exposure to famine in utero","does not assess","no",NA,"adults",NA,"morphology",NA,NA,"physiology, morphology, behavior","Body weight and height, BMI, serum blood glucose, birth weight, energy intake, smoking, physical activity","no",NA,"no","diallel","no",NA,"10.3945.ajcn.116.138792",139,"li j. (2017)","prenatal exposure to famine and the development of hyperglycemia and type 2 diabetes in adulthood across consecutive generations: a population-based cohort study of families in suihua, china","10.3945.ajcn.116.138792",-0.438,-0.3793,1,164,30,24,3.4286,2017,24,3.4286
"33","transgenerational effects of parental larval diet on offspring development time, adult body size and pathogen resistance in drosophila melanogaster","10.1371.journal.pone.0031611",2012,"arthropod","Drosophila melanogaster","polygamy – promiscuity","without mate choice","captive","as juvenile","Diet","poor diet wiith reduced amonut of yest","does not assess","no",NA,"adults",NA,NA,NA,"other","physiology, morphology","offspring development time, adult body size and adult resistance to the
bacterium Serratia marcescens","no",NA,"yes","diallel","no",NA,"10.1371.journal.pone.0031611",301,"valtonen t.m. (2012)","transgenerational effects of parental larval diet on offspring development time, adult body size and pathogen resistance in drosophila melanogaster","10.1371.journal.pone.0031611",-0.7391,0.3022,3,108,56.5,50,1.3158,2012,50,1.3158
"34","egg cannibalism potential benefits for adult reproductive performance and offspring fitness of coccinella undecimpunctata l. (coleoptera: coccinellidae)","..",2016,"arthropod","Coccinella undecimpunctata","polygamy – promiscuity","without mate choice","wild brought into captivity","as adult","Diet","diet consisting of eggs of own species","does not assess","no",NA,"adults","survival",NA,"morphology","morphology","morphology, survival, other","egg viability, larval development, pupation, and total developmental periods, adult body mass, offspring sex ratio","no",NA,"yes","diallel","no",NA,"egg cannibalism potential benefits for adult reproductive performance and offspring fitness of coccinella undecimpunctata l. (coleoptera: coccinellidae)",178,"bayoumy m.h. (2016)","egg cannibalism potential benefits for adult reproductive performance and offspring fitness of coccinella undecimpunctata l. (coleoptera: coccinellidae)","",-1.4474,-0.0593,3,5,4,3,0.143,2016,3,0.143
"35","intra- and trans-generational effects of larval diet on susceptibility to an entomopathogenic fungus, beauveria bassiana, in the greater wax moth, galleria mellonella","10.1111.jeb.12666",2015,"arthropod","Galleria mellonella","polygamy – promiscuity","without mate choice","captive","as juvenile","Diet","low qulaity dies with cellulose","does not assess","no",NA,"larvae",NA,NA,"physiology, survival",NA,NA,"susceptibility of the larvae to a fungal disease,","no",NA,"no","diallel","no",NA,"10.1111.jeb.12666",212,"kangassalo k. (2015)","intra- and trans-generational effects of larval diet on susceptibility to an entomopathogenic fungus, beauveria bassiana, in the greater wax moth, galleria mellonella","10.1111.jeb.12666",-0.8056,0.2635,3,96,51,10,0.3582,2015,10,0.3582
"36","maternal and paternal condition effects on offspring phenotype in telostylinus angusticollis (diptera: neriidae)","10.1111.j.1420.9101.2007.01419.x",2007,"arthropod","Telostylinus angusticollis","polygamy – promiscuity","without mate choice","captive","as juvenile","Diet","diet quality","does not assess","no",NA,"adults",NA,NA,NA,"survival","morphology","egg-to-adult development time and survival, adult body size","no",NA,"no","diallel","no",NA,"10.1111.j.1420.9101.2007.01419.x",352,"bonduriansky r. (2007)","maternal and paternal condition effects on offspring phenotype in telostylinus angusticollis (diptera: neriidae)","10.1111.j.1420.9101.2007.01419.x",-0.4826,0.3578,3,141,51,89,3.5887,2007,89,3.5887
"37","maternal consumption of lake ontario salmon in rats produces behavioral changes in tee offspring","..",1998,"non-human mammal","Rattus norvegicus","polygamy – promiscuity","without mate choice","captive","as adult","Diet","premating diet of Lake Ontario Salmon (Lake), Pacific Ocean Salmon (Ocean) or Laboratory Rat Chow (mash)","does not assess","no",NA,"adults",NA,"morphology",NA,NA,"morphology, behavior","body weight, runway performance","no",NA,"no","diallel","no",NA,"maternal consumption of lake ontario salmon in rats produces behavioral changes in tee offspring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","multigenerational effects of parental prenatal exposure to famine on adult offspring cognitive function","10.1038.srep13792",2015,"human","Homo sapiens","monogamy","with mate choice","human","in utero","Diet","in utero exposure to famine","does not assess","no",NA,"adults",NA,NA,NA,NA,"behavior","general intelligence, verbal learning capacity, verbal fluency, visuo-spatial constructional ability and visuospatial memory, selective attention, visual conceptual and visuo-motor tracking","no",NA,"no","diallel","no",NA,"10.1038.srep13792",195,"li j. (2015)","multigenerational effects of parental prenatal exposure to famine on adult offspring cognitive function","10.1038.srep13792",0.1711,-0.3921,1,48,14,11,0.394,2015,11,0.394
"39","the nutritional geometry of parental effects: maternal and paternal macronutrient consumption and offspring phenotype in a neriid fly","10.1111.1365.2435.12643",2016,"arthropod","Telostylinus angusticollis","polygamy – promiscuity","without mate choice","captive","as juvenile","Diet","20 larval diet","does not assess","no",NA,"adults","survival",NA,NA,"survival","morphology","egg hatching success, larva-to-adult viability, development time, body size of adults","no",NA,"yes","diallel","no",NA,"10.1111.1365.2435.12643",148,"bonduriansky r. (2016)","the nutritional geometry of parental effects: maternal and paternal macronutrient consumption and offspring phenotype in a neriid fly","10.1111.1365.2435.12643",-0.7357,0.1203,3,135,54,11,0.5244,2016,11,0.5244
"40","when two obese parents are worse than one! impacts on embryo and fetal development","10.1152.ajpendo.00230.2015",2015,"non-human mammal","Mus musculus","polygamy – promiscuity","without mate choice","captive","as adult","Diet","nutrient-matched high-fat for 9 weeks","does not assess","yes – maternal effects","other","embryos","gene expression, morphology, survival",NA,NA,NA,NA,"emrbyo weight and length, embroy survival (subset of embryos was transferred), gene expression in fetus and in placenta","no",NA,"yes","diallel","no",NA,"10.1152.ajpendo.00230.2015",194,"mcpherson n.o. (2015)","when two obese parents are worse than one! impacts on embryo and fetal development","10.1152.ajpendo.00230.2015",-0.3408,-0.594,1,136,47,24,0.8596,2015,24,0.8596
"41","effects of maternal and paternal environment and genotype on offspring phenotype in solidago altissima l","..",1994,"plant","Solidago altissima","polygamy – promiscuity","without mate choice","wild brought into captivity","as adult","Diet","two levels of soil quality","does not assess","yes – maternal effects","natural external fertilization","adults","survival","morphology",NA,NA,"morphology, fecundity","germination speed and success, early sidling mass, phenology of plants, leaf size, flowers","no",NA,"no","diallel","yes",NA,"effects of maternal and paternal environment and genotype on offspring phenotype in solidago altissima l",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","apparent transgenerational effects of host plant in the leaf beetle ophraella notulata (coleoptera: chrysomelidae)","10.1007.bf00317507",1993,"arthropod","Ophraella notulata","polygamy – promiscuity","without mate choice","wild brought into captivity","as juvenile","Diet","species of host plant","does not assess","no",NA,"adults",NA,NA,"behavior","survival","behavior, fecundity","larval consumption of the two host plants, adult consumption and oviposition on the host plants, survival from hatching to adulthood","no",NA,"no","diallel","yes",NA,"10.1007.bf00317507",425,"futuyma d.j. (1993)","apparent transgenerational effects of host plant in the leaf beetle ophraella notulata (coleoptera: chrysomelidae)","10.1007.bf00317507",-1.2068,0.681,3,31,13,15,0.7009,1993,15,0.7009
